,S_DOX,S_DNR,S_IDA,S_DOXver,S_DNRver,S_IDAver,R_DOX,R_DNR,R_IDA,R_DOXver,R_DNRver,R_IDAver,Dox40_DOX,Dox40_DNR,Dox40_IDA,Dox40_DOXver,Dox40_DNRver,Dox40_IDAver
4,10.17,10.17,10.17,9.31,9.31,9.31,12.92,12.92,16.46,17.99,17.99,17.99,43.15,39.82,6.23,4.44,4.44,4.44
2,9.52,9.52,9.52,9.23,9.23,9.23,12.83,12.83,15.3,16.27,16.27,16.27,47.74,53.06,9.33,4.1,4.1,4.1
1,8.64,8.64,8.64,9,9,9,44.49,20.78,13.14,14.72,14.72,14.72,69.11,72.27,11.92,5.4,5.4,5.4
0.5,9.56,9.56,9.56,8.6,8.6,8.6,62.85,52.38,12.47,16.49,14.17,14.17,85.67,80.31,24.44,8.98,21.06,6.59
0.25,22.39,9.59,9.59,10.69,8.86,8.86,64.75,61.59,12.97,26.41,18.93,15.11,77.65,86.26,34.72,30.2,40.35,13.42
0.125,49.63,28.43,11.63,29.24,13.97,9.48,66.31,66.31,14.96,60.19,51.88,15.55,87.36,81.37,38.24,47.33,53.15,32.2
0.0625,51.71,47.22,16.13,56.27,51.54,12.3,75.04,76.48,43.94,77.3,74.36,29.3,86.95,86.95,52.71,50.48,54.31,52.2
0.03125,55.06,50.6,49.24,58.86,55.86,48.22,79.76,78.1,63.68,63.83,74.97,70.33,85.22,82.63,73.25,53.7,56.64,53.7
0.015625,58.08,51.59,53.37,59.14,59.14,59.14,82,78.81,65.68,77.41,72.09,80.57,83.32,86.46,79.31,61.3,61.3,61.3
0,81.38,81.38,86.04,69,69,69,84.23,84.23,84.23,81.51,81.51,86.5,80.09,85.08,80.09,62.6,62.6,62.6