,S_IDA,S_IDAver,R7_IDA,R7_IDAver,D40_IDA,D40_IDAver,S_DNR,S_DNRver,R7_DNR,R7_DNRver,D40_DNR,D40_DNRver
0,0,0,0,0,0,0,0,0,0,0,0,0
15,23.2,21.4,12.5,12.5,6.7,18.5,4.3,4.3,2,2,1.7,3.4
30,33.5,29.2,16.7,19.1,8.1,23.6,7.8,7.8,2.2,3.7,1.9,5.7
45,39.4,32.4,19.6,21.4,8.3,26.3,11.3,11.3,3.3,6,2.1,9.3
60,42.6,34.8,21,22.7,9.3,28.5,16.3,16.3,4,9.5,2.3,11.7
90,45.2,37.6,24.4,25.5,10.3,31.5,28.8,24.8,5.7,17.7,2.4,17.3
120,50.1,40.6,25.3,27.5,11.4,32,40.7,36.5,7,25.3,2.3,22.8
150,53.5,41.2,26.3,29.6,13.4,33.5,48.2,41.7,8,31.8,2.5,25.4
180,28.3,14.9,11,11,2.5,13.7,35.6,35.6,2.5,26.4,0,16.6
210,21.3,12.5,8.8,8.8,1.9,11.4,28.9,25.5,1.3,20.6,0,14.1
240,20.2,13.2,9,9,2.1,12.4,25.6,21.2,1,16.5,0,13.8